st_abbrev,psychol_21,socwk_21,conslrs_21,popn_pums_21,region
AL,1164,6668,4974,4997675,alabama
AK,633,1109,1572,735951,alaska
AZ,4619,9778,7404,7079203,arizona
AR,762,3042,2797,3006310,arkansas
CA,39927,69147,54311,39455353,california
CO,6013,8727,7776,5723176,colorado
CT,4719,7916,4784,3605330,connecticut
DE,729,1913,1899,981892,delaware
DC,1765,2422,1169,683154,DC
FL,10108,23279,23400,21339762,florida
GA,5779,10081,10391,10625615,georgia
HI,1056,2001,1716,1453498,hawaii
ID,916,2288,3023,1811617,idaho
IL,9690,21493,15654,12821813,illinois
IN,2262,10946,7163,6751340,indiana
IA,1189,4265,4400,3179090,iowa
KS,1744,5214,3117,2932099,kansas
KY,2137,7996,5054,4494141,kentucky
LA,1658,7405,7323,4657305,louisiana
ME,1202,3606,2909,1357046,maine
MD,5602,9780,8246,6148545,maryland
MA,9450,18693,16541,6991854,massachusetts
MI,5478,18661,8836,10062512,michigan
MN,5829,12800,10622,5670472,minnesota
MS,624,2866,2073,2967023,mississippi
MO,2704,9875,7006,6141534,missouri
MT,459,1337,2186,1077978,montana
NE,1091,3126,2585,1951480,nebraska
NV,1262,3836,1738,3059238,nevada
NH,935,2073,2424,1372174,new hampshire
NJ,9104,18532,10666,9234024,new jersey
NM,1138,2596,2986,2109366,new mexico
NY,26379,60526,30092,20114745,new york
NC,6093,20020,10987,10367011,north carolina
ND,NA,1053,834,773344,north dakota
OH,6291,25516,15448,11769923,ohio
OK,1954,4040,5278,3948136,oklahoma
OR,3776,6802,8093,4207177,oregon
PA,10209,30146,25027,12970650,pennsylvania
RI,1300,2957,2316,1091949,rhode island
SC,1652,5800,5569,5078914,south carolina
SD,422,1003,1645,881785,south dakota
TN,3435,9889,7028,6859497,tennessee
TX,12355,26570,23059,28862581,texas
UT,2108,3779,3754,3231370,utah
VT,729,1704,2613,641637,vermont
VA,5678,13691,14834,8582479,virginia
WA,5356,10584,13610,7617364,washington
WV,1060,2872,1836,1801049,west virginia
WI,5273,11509,5483,5871661,wisconsin
WY,NA,939,672,576641,wyoming
US,236516,552890,424923,329725483,US
