Household Pulse Survey,,,,,,
Data Dictionary for CSV - Phase 4.2 Cycle 09,,,,,,
,,,,,,
,,,,,,
Instrument Q #,Variable,Description,,Question Wording,Range,Phases / Notes
D1,TBIRTH_YEAR,Description,Year of birth,What year were you born? Please enter a number.,1936:2006,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,1936-2006,,,4.0: Range updated from 1936-2006
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,Topcoded 1936-2006,,,
Recode of D2,RHISPANIC,Description,Hispanic origin,"Are you of Hispanic, Latino, or Spanish origin? ",1:2,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) No, not of Hispanic, Latino, or Spanish origin  
2) Yes, of Hispanic, Latino, or Spanish origin",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
Recode of D3,RRACE,Description,Race & Ethnicity,What is your race? Please select all that apply.,1:4,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) White, Alone
2) Black, Alone
3) Asian, Alone
4) Any other race alone, or race in combination",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D4,EEDUC,Description,Educational attainment,"What is the highest
degree or level of school you have completed? Select
only one answer.",1:7,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Less than high school
2) Some high school
3) High school graduate or equivalent (for example GED)
4) Some college, but degree not received or is in progress
5) Associate’s degree (for example AA, AS)
6) Bachelor's degree (for example BA, BS, AB)
7) Graduate degree (for example master's, professional, doctorate)
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D5,MS,Description,Marital status,"What is your marital
status? Select only one answer.",1:5,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Now married 
2) Widowed
3) Divorced
4) Separated
5) Never married
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D6,EGENID_BIRTH,Description,Gender at birth,"What sex were you assigned at birth, on your original birth certificate?",1:2,"3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Male 
2) Female",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
Recode of D7_alt,RGENID_DESCRIBE,Description,Current gender identity,How do you currently describe yourself? Select all that apply.,1:4,4.2
,,Values,"1) Male 
2) Female
3) Transgender
4) Nonbinary/I use a different term
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D9,SEXUAL_ORIENTATION_RV,Description,Sexual orientation,Which of the following best represents how you think of yourself?,1:4,"3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Gay or lesbian
2) Straight, that is not gay or lesbian
3) Bisexual
4) I use a different term
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D10,THHLD_NUMPER,Description,Total number of people in household,"How many total people – adults and children
– currently live in your household, including yourself? Please enter a number.",1:40,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,(1-40) number of people (whole number),,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D11,THHLD_NUMKID,Description,Total number of people under 18-years-old in household,"How many people under 18 years-old currently live in
your household? Please
enter a number.",0:40,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,(0-40) number of people under 18 (whole number),,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
Recode of D10 and D11,THHLD_NUMADLT,Description,Recode for the number of Adults in the household,<Recode for the number of Adults in the household>,1:40,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,1-40) number of people (whole number),,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D12,KIDS_LT1Y,Description,"In your household, are there… Select all that apply.","In your household, are there… Select all that apply.","<blank>,1",4.2
,,Values,"1) Children under 1 year old
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
D12,KIDS_1_4Y,Description,"In your household, are there… Select all that apply.","In your household, are there… Select all that apply.","<blank>,1",4.2
,,Values,"1) Children 1 through 4 years old
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
